

,RETHINK SALES/REVENUE,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE,"$12,533","$9,908","$8,587","$13,346","$10,114","$10,974","$11,074 ","$11,404","$10,153","$11,255","$12,005","$12,868",,Rethink-selfstorage.com/Mtholly
,MT HOLLY,$0,$0,$0,"$8,969","$6,751","$10,105","$12,903 ","$15,549 ","$18,162 ","$22,179","$23,214","$25,823",,Rethink-selfstorage.com/hamshire
,TOTAL,"$12,533","$9,908","$8,587","$22,314","$16,865","$21,079","$23,977 ","$26,953","$28,316","$33,434","$35,218","$38,692"


,OCCUPANCY,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE,54%,55%,52%,53%,53%,55%,61%,65%,68%,78.72%,83%,85%
,MT HOLLY,0%,1%,9%,16%,33%,25%,36%,45%,48%,51%,54%,54%

,OCCUPIED UNITS,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE,87,88,82,83,79,83,89,95,99,111,117,121
,MT HOLLY,0,1,11,19,39,76,109,139,147,155,164,164


,AUTOPAY,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE,46%,48%,54%,53%,54%,55%,55%,71%,78%,78%,77%,77%
,MT HOLLY,-,-,-,111%,54%,85.53%,85%,83%,84%,84%,87%,86%

,INSURANCE,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE,38%,49%,54%,93%,90%,90%,90%,80%,76%,73%,73%,66%
,MT HOLLY,,,,32%,71%,42.11%,17%,22%,66%,63%,59%,59%

,REVENUE PER SQ FT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE,$0.58 ,$0.57 ,$0.56 ,$0.62 ,$0.00 ,$0.00 ,$0.00 ,$0.57 ,$0.49 ,$0.50 ,$0.52 ,$0.52 
,MT HOLLY,$0.00 ,$1.00 ,$2.11 ,$1.04 ,$0.00 ,$0.95 ,$0.92 ,$0.87 ,$0.98 ,$0.98 ,$0.88 ,$0.93 

,MOVE IN/ MOVE OUT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,HAMSHIRE
,Move in,6,6,7,7,12,13,15,15,10,19,10,9
,Move out,9,3,11,6,16,8,2,9,6,6,4,4,,5.166666667
,Net Move,-3,3,-4,1,-4,5,13,6,4,13,6,5
,MOVE IN/ MOVE OUT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,MT HOLLY
,Move in,0,0,10,10,23,43,34,39,18,16,16,18
,Move out,0,0,0,1,3,6,1,7,6,5,6,15
,Net Move,0,0,10,9,20,37,33,32,12,11,10,3
,MOVE IN/ MOVE OUT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,RETHINK
,Move in,6,6,17,17,35,56,49,54,28,35,26,27
,Move out,9,3,11,7,19,14,3,16,12,11,10,19
,Net Move,-3,3,6,10,16,42,46,38,16,24,16,8

,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
,MARKETING KPIS,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,MARKETING
,TOTAL SPEND
,CLICK THROUGH RATE (CTR)
,WEBSITE CONVERSION RATE
,CALL CENTER CONVERSION RATE
,PAY PER CLICK (PPC)
,WEBSITE VISITS
,CALL CENTER CALLS 
,WALK-INS 
,SPARE FOOT
,GOOGLE ADS
