,,,,,,#REF!
,,,,,,#REF!
#N/A

,,,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,,,"SHEM, you can use this for your updates - this is linked to the dashboard on the left"
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,MOUNT HOLLY
,6,Total Units Available,120,120,120,120,120,306,306,306,306,306,306,306,,,Performance as of :,12/22/2025
,,Total Units Rented,0,1,11,19,39,76,109,139,147,155,164,164,,,Total Units Rented,164
,11,Total Vacant Units,120,119,109,101,81,94,81,51,58,50,54,78,,,Total Unit Occupancy %,54%
,9,Total Unit Occupancy %,0%,1%,9%,16%,33%,25%,36%,45%,48%,51%,54%,54%,,,Move Ins,18
,34,Total Unrentables,0,0,0,0,42,26,12,13,2,2,2,2,,,Move Outs,15
,,Total Occupancy Sq Ft %,0%,1%,7%,18%,23%,40%,50%,58.00%,75%,78%,77%,72%,,,Net Moves,3
,10,Move Ins,0,0,10,10,23,43,34,39,18,16,16,18,,,A/R % of Units Past Due,5%
,12,Move Outs,0,0,0,1,3,6,1,7,6,5,6,15
,,Net Moves,0,0,10,9,20,37,33,32,12,11,10,3
,21,,,,#REF!,,,,,,Total Units: 0 
,33,Unit Rent Total,$0,$22,"$3,883","$1,110","$5,769","$8,210","$10,945 ","$13,138 ","$15,512 ","$18,906","$20,288","$22,390"
,,Rent per sq.ft.,$0.00 ,$1.00 ,$2.11 ,$1.04 ,$0.00 ,$0.95 ,$0.92 ,$0.87 ,$0.98 ,$0.98 ,$0.88 ,$0.93 
,,Total Revenue,$0,$0,$0,"$8,969","$6,751","$10,105","$12,903 ","$15,549 ","$18,162 ","$22,179","$23,214","$25,823"
,,Discounts/Credits/Waived Fees,$0,$0,$0,$55,$275,$165,$333 ,$649 ,"$2,622 ","$1,327",$798,$258
,,Receipts Collected,$0,$0,$0,"$1,110","$5,769","$10,105","$12,903 ","$15,549 ","$25,013 ","$22,179","$23,214","$25,823"
,28
,33,Tenant Insurance Penetration %,,,,32%,71%,42.11%,17%,22%,66%,63%,59%,59%
,20,AutoPay Penetration %,-,-,-,111%,54%,85.53%,85%,83%,84%,84%,87%,86%
,,A/R % of Units Past Due,0%,0%,0%,5%,0%,2.63%,1.83%,2%,5%,5%,6%,5%
,,,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,,December 2024,January 2025,,March 2025,April 2025,May 2025,June 2025,July 2025
,,Projected - Occupied,0,1,11,19,39,76,96,116,136,156,176,,196,216,,20,40,60,80,100
,,Projected - Rent $,$0,$90,$990,"$1,710","$6,510","$13,105","$15,284","$14,453","$12,240","$14,040","$15,840",,"$17,640","$19,440",,"$1,800","$3,600","$5,400","$7,200","$9,000"
,,Expenses,"$14,108","$26,021","$18,919","$26,412","$31,952","$24,000","$24,000","$24,000","$24,000","$24,000","$24,000",,"$24,000","$24,000",,"$24,000","$24,000","$24,000","$24,000","$24,000"
,,Projected Loss,,,,,,"$10,895","$8,716","$9,547","$11,760","$9,960","$8,160",,"$6,360","$4,560",,"$22,200","$20,400","$18,600","$16,800","$15,000"
,,,,,,,,,,,,,,,,,,,,,,"$1,350,000"
,,,,,,,,,,,,,,,,,,,,,,"$1,542,857"





,,Monthly maintenance checklist
,,Lawn,,,Walk through (report maintenance requirements)
,,Weeds,,,Are we paying our monthly referral
,,Bugs,,,Corners of all indoor and outdoor (water erosion/trash)
,,"Bathrooms - toilet paper, soap, and clean",,,Trash walk through around site
,,Floors,,,HVAC filters cleaned

,,100 leases
,,Spider door and pinpad
,,New realtors for commercials
,,Office doors
,,Storage.marketing or storage pug marketing screenshots because that will be a lot of our future emails
,,new broker
,,new warehouse lease
,,installed units on the 2nd floor
,,working on the elevator pricing
,,design work for 2nd floor layout
,,"toiled, sink and vanity installed in the office space"
,,Warehouse revenue
,,Installed 8 illuminated exit signs
,,sensored our lights on the whole 1st floor
,,September - HIGHLIGHTS/LOWLIGHTS
,,100% insurance implementation in Mt. Holly,,,Move ins slowed down this month
,,Installed light sensor (40 for $2800) this should decrease our energy bills
,,Last mile distributor moved for $4500/month
,,$1000/month of new customers 
,,October  - HIGHLIGHTS/LOWLIGHTS
,,Ending relationship with Storage.Marketing - $750/month savings,,,Reduction in expenses and storage.marketing paused ($725/mo)
,,"Mount Holly eight exit signs that are hardwired installed… First full month of the back warehouse and customer… Bathroom, toilet, and vanity installation… For cameras purchased… Hurricane Milton minor repairs… Three storage units on the second floor installed",,,Google Ads reduced by 66%. 
,,Pricing on 10x30s on the 2nd floor,,,Electric Bill turned off HVACs for the season reducing the bill by $1000/mo
,,Got pricing for the whole 2nd floor buildout from SAMS,,,"3months ago was our best month, we are expecting promos from these to be rolling off"
,,Hurricane Irene largest storm in NC in several decades - Dutchman's Creek behind our facility grew 4x the width. We did not get water in our facility! (Sep 28-Oct 1),,,We will get more clarity with the elevator and 2nd floor buildout
,,Carlos got the toilet and sink in the office,,,Installed 8 illuminated exit signs
,,Carlos built 10x30s in the 2nd floor,,,"Slow down in new customers due to seasonality of self storage (high - may to august, low - Nov to Mar)"
,,Minor repair due to hurricane Irene
,,November  - HIGHLIGHTS/LOWLIGHTS
,,Gate
,,Cameras
,,"Researched elevators - Carolina southern elevators, otis"
,,more quotes for steel units for 2nd floor
,,"Across Charlotte we are seeing less leads coming in from Sparefoot- which now puts us in Charlotte with a lot more competition, a lot less leads.  So this will continue through the slow season Dec- February."
,,More customers this month for move ins.
,,Ordered 7 10x30 units and waiting for delivery.
,,"Rent increases somewhat aggressively , according to Kevin.  He said that he is extremely confident we will be able to get the property to $70k a month.  Which I think is surprising to make bold prediction."
,,December  - HIGHLIGHTS/LOWLIGHTS

















,,OWNER,DATE,STATUS,ITEMS
,,kleebrick@mystorageops.com,04/28/2024,DONE,Get quotes for biweekly landscaping services - Miguel Osio - Biweekly payments - send  pics first
,,BOTG,04/28/2024,OPEN,Doorknobs  in Chiller Room and Long Room
,,BOTG,04/28/2024,DONE,Spray For Bugs and Weed Killer 
,,BOTG,04/28/2024,OPEN,Do We Need A Gate QR Code?
,,BOTG,04/28/2024,OPEN,Spare Foot is Making Reservations Correctly Now?
,,BOTG,04/28/2024,OPEN,Pin Pad on The Garage is Correctly Working?
,,BOTG,04/28/2024,OPEN,My Q app is  Correctly Working For Property Management? Cameras and Garage Doors Opener? 
,,Gave &Rachel,05/01/2024,DONE,Storage.marketing using our units instead of our home page to sent from google ads. 
