Date ,Move-ins,Move-outs,Payments,Occupancy %



,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,6,Total Units Available,142,142,143,142,144,149,189,188,189,194,192,191
,,Total Units Rented,121,126,120,119,120,121,125,133,135,140,141,144
,11,Total Vacant Units,21,16,23,23,24,23,9,3,53,50,51,47
,9,Total Unit Occupancy %,83%,87%,82%,82%,81%,81%,66%,70%,70%,72%,73%,74%
,34,Total Unrentables,1,2,1,1,1,1,50,52,1,1,1,1
,,Total Occupancy Sq Ft %,69%,75%,66%,61%,62%,64%,60%,78%,77%,75%,74%,76%
,10,Move Ins,10,9,5,9,7,6,10,13,9,12,9,6
,12,Move Outs,10,4,11,10,6,4,7,3,5,6,8,2
,,Net Moves,0,5,-6,-1,1,2,3,10,4,6,1,4
,21
,33,Unit Rent Total,"$13,537","$14,123","$15,184","$13,671","$13,589","$13,696","$13,986","$14,750","$14,393","$14,584","$15,396","$12,255"
,,Rent per sq.ft.,$0.63 ,$0.61 ,$0.74 ,$0.72 ,$0.70 ,$0.73 ,$0.70 ,$0.00 ,$0.68 ,$0.72 ,$0.77 ,$0.59 
,,Total Revenue,"$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685","$13,298"
,,Discounts/Credits/Waived Fees,"$2,081","$1,295","$1,001",$989,$344,"$1,197","$1,894","$1,507","$2,530","$1,298","$1,171",$780
,,Receipts Collected,"$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685","$13,298"
,28
,33,Tenant Insurance Penetration %,64%,63%,71%,69%,71%,68%,65%,60%,62%,64%,62%,61%
,20,AutoPay Penetration %,77%,78%,,79%,78%
,,A/R % of Units Past Due,1%,1%,1%,1%,1%,1%,1%,2%,0%,#VALUE!,0%,0%
