TOTAL REVENUE,RECEIPTS
"$15,127.61 MTD
$17,072.07 last month","$15,127.61 MTD
$17,072.07 last month"
"$63,234.77 YTD
$61,690.25 last year","$63,234.77 YTD
$61,390.25 last year"
OCCUPANCY,NET RENTALS
81.51% UNITS,-1 MTD
60.90% SQ FT,-2 YTD
71.02% ECON
LEADS SUMMARY
TOTAL,MOVE IN %
12,75.00% MTD
62,53.23% YTD
REVENUE
REVENUE,04/30/2025,MTD,YTD
Rent,$162.80,"$13,671.21","$56,515.27"
Fees,$50.40,$240.40,"$1,470.20"
Merchandise,$0.00,$0.00,$0.00
Services,$0.00,$0.00,$26.61
Insurance,$30.00,$996.00,"$4,202.69"
Miscellaneous,$20.00,$220.00,"$1,020.00"
TOTAL REVENUE,$263.20,"$15,127.61","$63,234.77"
RECEIPTS
TYPE,04/30/2025,MTD,YTD
Cash,$0.00,$0.00,$0.00
Credit Card,$263.20,"$14,075.81","$60,010.52"
ACH,$0.00,"$1,051.80","$3,224.25"
Check,$0.00,$0.00,$0.00
Money Order,$0.00,$0.00,$0.00
NET RECEIPTS,$263.20,"$15,127.61","$63,234.77"
ALLOWANCES,04/30/2025,MTD,YTD
Credits,$0.00,$264.50,"$1,757.82"
Discounts,$1.48,$304.16,"$2,744.39"
Waived Fee,$20.00,$210.00,$405.06
Write Offs,$0.00,$0.00,$26.52
TOTAL ALLOWANCES,$21.48,$778.66,"$4,933.79"
INSURANCE/PROTECTION
ENROLLED,NOT ENROLLED,TOTAL,PERCENT INSURED
82,37,119,68.91%
OCCUPANCY STATISTICS,,,,,ECONOMIC OCCUPANCY
STATUS,UNITS,UNIT %,SQ FT,SQ FT %,POTENTIAL,POTENTIAL %,RENT,ECON OCC,VARIANCE
Occupied,119,81.51%,"19,000.00",60.90%,"$13,861.50",71.10%,"$13,847.40",71.02%,-$14.10
Vacant,23,15.75%,"11,200.00",35.90%,"$5,158.00",26.46%,$0.00,0.00%,"-$5,158.00"
Reserved,3,2.05%,950.00,3.04%,$428.00,2.20%,$0.00,0.00%,-$428.00
Complimentary,0,0.00%,0,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
Unrentable,1,0.68%,50,0.16%,$49.50,0.25%,$0.00,0.00%,-$49.50
TOTALS,146,,"31,200.00",,"$19,497.00",,"$13,847.40",,"-$5,649.60"
RENTAL ACTIVITY
TYPE,04/30/2025,MTD,YTD
Move Ins,2,9,33
Move Outs,0,10,35
Reservations,0,4,29
Transfers,0,1,6
NET RENTALS,2,-1,-2
TOP LEAD SOURCES
SOURCE,04/30/2025,MTD,YTD
Walk In,1,6,21
Referral,0,2,6
Drive By,0,1,10
Google,0,1,3
Storedge Website - Move-In,0,1,3
Other,0,1,19
AMOUNT DUE BY OLDEST CHARGE (CURRENT TENANTS)
DAYS,UNITS,TENANTS,RENT,FEES,OTHER,TOTAL
0-10,4,4,$405.50,$86.70,$33.00,$525.20
11-30,2,2,$290.50,$83.20,$23.00,$396.70
31-60,0,0,$0.00,$0.00,$0.00,$0.00
61-90,1,1,$256.50,$225.00,$30.00,$511.50
91-120,1,1,$358.00,$245.00,$40.00,$643.00
120+,1,1,$830.00,$331.00,$60.00,"$1,221.00"
TOTALS,9,9,"$2,140.50",$970.90,$186.00,"$3,297.40"
RECEIPTS BY CHARGE TYPE
TYPE,04/30/2025,MTD,YTD
Rental Revenue,$162.80,"$13,671.21","$56,515.27"
Parking Revenue,$0.00,$0.00,$0.00
Locker Revenue,$0.00,$0.00,$0.00
Office Space Revenue,$0.00,$0.00,$0.00
Wine Storage Revenue,$0.00,$0.00,$0.00
Other Storage Revenue,$0.00,$0.00,$0.00
Warehouse Storage Revenue,$0.00,$0.00,$0.00
Mailbox Revenue,$0.00,$0.00,$0.00
Cell/Billboard Revenue,$0.00,$0.00,$0.00
RENT RECEIPTS,$162.80,"$13,671.21","$56,515.27"
General Fee Revenue,$50.40,$50.40,$229.40
Administrative Fee Revenue,$0.00,$0.00,$0.00
Late Fee Revenue,$0.00,$190.00,"$1,240.80"
NSF Fee Revenue,$0.00,$0.00,$0.00
Chargeback Fee Revenue,$0.00,$0.00,$0.00
Convenience Fee Revenue,$0.00,$0.00,$0.00
Fee Revenue Other,$0.00,$0.00,$0.00
FEE RECEIPTS,$50.40,$240.40,"$1,470.20"
General Retail Revenue,$0.00,$0.00,$0.00
Boxes Revenue,$0.00,$0.00,$0.00
Locks Revenue,$0.00,$0.00,$0.00
Truck Rental Revenue,$0.00,$0.00,$0.00
RETAIL RECEIPTS,$0.00,$0.00,$0.00
Insurance Revenue,$30.00,$996.00,"$4,202.69"
Miscellaneous Revenue,$20.00,$220.00,"$1,020.00"
Retained Security Deposit,$0.00,$0.00,$0.00
Security Deposit,$0.00,$0.00,$0.00
Service Revenue,$0.00,$0.00,$26.61
Sales Tax City,$0.00,$0.00,$0.00
Sales Tax State,$0.00,$0.00,$0.00
Sales Tax Other,$0.00,$0.00,$0.00
OTHER RECEIPTS,$50.00,"$1,216.00","$5,249.30"
TOTAL RECEIPTS,$263.20,"$15,127.61","$63,234.77"
LIABILITY BALANCES AS OF 04/30/2025
TYPE,AMOUNT
Prepaid Rent,$164.00
Prepaid Insurance,$0.00
Prepaid Services,$0.00
Security Deposit,"$1,753.45"
ADDITIONAL REVENUE
TYPE,04/30/2025,MTD,YTD
Retained Revenue,$0.00,$0.00,$0.00
Retained Security Deposit,$100.00,$200.00,$300.00
TOTAL ADDITIONAL REVENUE,$100.00,$200.00,$300.00
