TOTAL REVENUE,RECEIPTS
"$16,075.15 MTD
$15,254.28 last month","$16,075.15 MTD
$15,254.28 last month"
"$125,156.98 YTD
$61,690.25 last year","$125,156.98 YTD
$61,390.25 last year"
OCCUPANCY,NET RENTALS
70.00% UNITS,10 MTD
78.46% SQ FT,12 YTD
77.32% ECON
LEADS SUMMARY
TOTAL,MOVE IN %
22,59.09% MTD
125,54.40% YTD
REVENUE
REVENUE,08/31/2025,MTD,YTD
Rent,$0.00,"$14,749.78","$112,535.66"
Fees,$0.00,$160.40,"$2,664.50"
Merchandise,$0.00,$0.00,$0.00
Services,$0.00,$0.00,$51.61
Insurance,$0.00,$929.97,"$8,165.21"
Miscellaneous,$0.00,$235.00,"$1,740.00"
TOTAL REVENUE,$0.00,"$16,075.15","$125,156.98"
RECEIPTS
TYPE,08/31/2025,MTD,YTD
Cash,$0.00,$0.00,$0.00
Credit Card,$0.00,"$14,849.65","$117,914.73"
ACH,$0.00,"$1,225.50","$7,242.25"
Check,$0.00,$0.00,$0.00
Money Order,$0.00,$0.00,$0.00
NET RECEIPTS,$0.00,"$16,075.15","$125,156.98"
ALLOWANCES,08/31/2025,MTD,YTD
Credits,$0.00,$124.50,"$2,228.82"
Discounts,$0.00,"$1,322.62","$6,203.52"
Waived Fee,$0.00,$60.00,$795.06
Write Offs,$0.00,$0.00,$26.52
TOTAL ALLOWANCES,$0.00,"$1,507.12","$9,253.92"
INSURANCE/PROTECTION
ENROLLED,NOT ENROLLED,TOTAL,PERCENT INSURED
80,53,133,60.15%
OCCUPANCY STATISTICS,,,,,ECONOMIC OCCUPANCY
STATUS,UNITS,UNIT %,SQ FT,SQ FT %,POTENTIAL,POTENTIAL %,RENT,ECON OCC,VARIANCE
Occupied,133,70.00%,"23,500.00",78.46%,"$16,050.00",75.30%,"$16,481.50",77.32%,$431.50
Vacant,3,1.58%,450.00,1.50%,$258.00,1.21%,$0.00,0.00%,-$258.00
Reserved,2,1.05%,400.00,1.34%,$358.00,1.68%,$0.00,0.00%,-$358.00
Complimentary,0,0.00%,0,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
Unrentable,52,27.37%,"5,600.00",18.70%,"$4,649.00",21.81%,$0.00,0.00%,"-$4,649.00"
TOTALS,190,,"29,950.00",,"$21,315.00",,"$16,481.50",,"-$4,833.50"
RENTAL ACTIVITY
TYPE,08/31/2025,MTD,YTD
Move Ins,0,13,69
Move Outs,0,3,57
Reservations,0,9,61
Transfers,0,3,19
NET RENTALS,0,10,12
TOP LEAD SOURCES
SOURCE,08/31/2025,MTD,YTD
Walk In,0,6,39
Drive By,0,5,22
Google,0,3,10
Storedge Website - Inquiry,0,3,9
Storedge Website - Move-In,0,2,7
Other,0,3,38
AMOUNT DUE BY OLDEST CHARGE (CURRENT TENANTS)
DAYS,UNITS,TENANTS,RENT,FEES,OTHER,TOTAL
0-10,2,2,$156.50,$40.00,$23.00,$219.50
11-30,1,1,$49.50,$35.00,$0.00,$84.50
61-90,2,2,$433.50,$450.00,$87.00,$970.50
120+,1,1,"$1,522.00",$339.40,$100.00,"$1,961.40"
TOTALS,6,6,"$2,161.50",$864.40,$210.00,"$3,235.90"
RECEIPTS BY CHARGE TYPE,,,,$789.80,$177.00,"$2,943.30"
TYPE,08/31/2025,MTD,YTD
Rental Revenue,$0.00,"$14,749.78","$112,535.66"
Parking Revenue,$0.00,$0.00,$0.00
Locker Revenue,$0.00,$0.00,$0.00
Office Space Revenue,$0.00,$0.00,$0.00
Wine Storage Revenue,$0.00,$0.00,$0.00
Other Storage Revenue,$0.00,$0.00,$0.00
Warehouse Storage Revenue,$0.00,$0.00,$0.00
Mailbox Revenue,$0.00,$0.00,$0.00
Cell/Billboard Revenue,$0.00,$0.00,$0.00
RENT RECEIPTS,$0.00,"$14,749.78","$112,535.66"
General Fee Revenue,$0.00,$0.00,$229.40
Administrative Fee Revenue,$0.00,$0.00,$0.00
Late Fee Revenue,$0.00,$125.40,"$2,400.10"
NSF Fee Revenue,$0.00,$35.00,$35.00
Chargeback Fee Revenue,$0.00,$0.00,$0.00
Convenience Fee Revenue,$0.00,$0.00,$0.00
Fee Revenue Other,$0.00,$0.00,$0.00
FEE RECEIPTS,$0.00,$160.40,"$2,664.50"
General Retail Revenue,$0.00,$0.00,$0.00
Boxes Revenue,$0.00,$0.00,$0.00
Locks Revenue,$0.00,$0.00,$0.00
Truck Rental Revenue,$0.00,$0.00,$0.00
RETAIL RECEIPTS,$0.00,$0.00,$0.00
Insurance Revenue,$0.00,$929.97,"$8,165.21"
Miscellaneous Revenue,$0.00,$235.00,"$1,740.00"
Retained Security Deposit,$0.00,$0.00,$0.00
Security Deposit,$0.00,$0.00,$0.00
Service Revenue,$0.00,$0.00,$51.61
Sales Tax City,$0.00,$0.00,$0.00
Sales Tax State,$0.00,$0.00,$0.00
Sales Tax Other,$0.00,$0.00,$0.00
OTHER RECEIPTS,$0.00,"$1,164.97","$9,956.82"
TOTAL RECEIPTS,$0.00,"$16,075.15","$125,156.98"
LIABILITY BALANCES AS OF 08/31/2025,,"$11,875.16","$120,956.99"
TYPE,AMOUNT
Prepaid Rent,$443.00
Prepaid Insurance,$10.00
Prepaid Services,$0.00
Security Deposit,"$1,553.45"
ADDITIONAL REVENUE
TYPE,08/31/2025,MTD,YTD
Retained Revenue,$0.00,$0.00,$0.00
Retained Security Deposit,$0.00,$0.00,$0.00
TOTAL ADDITIONAL REVENUE,$0.00,$0.00,$0.00
TOTAL ADDITIONAL REVENUE,$0.00,$0.00,$0.00
