LOGO,,,Gamma Income    ,,Original Business Plan ,,,,,Tageted Hold ,,Targeted Rate of Return,,,,,,Sample for Inspiration
,,,Rethink Self Storage Fund,,Long descriotion ,,,,,~ 5 Years,,15-25% IRR (Equity Shareclasses)
,,,January 2026


same as sample,same,same,same,same,same,same,same,same,same,same,Maturity Date
Rethink Self Storage Fund,Houston,Self Storage,222,"Hamshire, TX",12.22.23,"$1,500,000","$300,000","$1,435,000",Principal and Interest,8.25%,1/2030
Rethink Self Storage Fund,Charlotte,Self Storage,501,"Mount Holly, NC",1.04.24,"$2,100,000","$915,000","$2,532,000",Interest Only,6%,1/2029


Client Acquitision Cost/ Life Time Value,,,Rent Per Square Foot,,,5 Star Reviews,(Help Us w Reviews : Here and Here(Links),,"Next Month Forecast: Charlotte $24000, Houston $16000"
Charlotte $104,Houston $144,,Charlotte $.99,Houston $.074,,Charlotte 6,Houston 2,,Fund Highlights- alot of words....
,,,,,,,,👏🏻👏🏻
Units / Total,,,MoveIn/ Move Outs,,,This Quarters Major News
Charlotte 221/305,Houston 144/201,,Charlotte 23/3,Houston 13/3
,,,,,,Checklist with emoji checkmarkt,,⭐⭐⭐⭐⭐,Charlotte Highlights - alot of words
"Sheet: MT Holly
Ref: C6",,,"Sheet: 2025ALL PROPERTIES
Ref: P28 / P29"
,,,,,,✅
line chart since inception,,,line chart since inception,,,✅,,🙌 🙌,Houston Highlights - alot of words
,,,,,,✅

emoji sectino,,,emoji sectino,,,emoji sectino


Fund Revenue ,,,,,,,,,Charlotte Revenue - ,,,,,,,,,Primary Features to be included:
,,,,,,,,,"December 2025 - $30,000 ",,,,,,,,,KPI dashboard,CHARLOTTE,HOUSTON,MINI CHART (13 MONTH),CELEBRATE COLUMN
,,,,,,,,,smaller font that says last month revenue -$28000,,,,,,,,,REVENUE,"$33,000","$17,000",,💰
,,,,,,,,,,,,,,,,,,UNITS/TOTAL,210/308,150/204,,👏🏻👏🏻
,,,,,,,,,,,,,,,,,,MOVE INS,26,11,,🙌 🙌
,,,,,,,,,,,,,,,,,,MOVE OUTS,5,3,,⭐⭐⭐⭐⭐
,,,,,,,,,,,,,,,,,,5 STAR REVIEWS,6,2,,🔥🔥🔥
,,,,,,,,,,,,,,,,,,RENT PER SQ FT,0.99,0.74,,🏗 🏗 🏗
,,,,,,,,,,,,,,,,,,"CLIENT ACQ COST (CAC), ROLLING 12-MO",104,140,,💸💸💸
,,,,,,,,,,,,,,,,,,LIFETIME VALUE (LTV),1830,1004,,🤦🏻‍♂️🤦🏻‍♂️
,,,,,,,,,,,,,,,,,,NEXT MONTH FORECAST,"$1,200",$300,,🙌 🙌
