TOTAL REVENUE,RECEIPTS
"$12,868.06 MTD
$12,004.74 last month","$12,868.06 MTD
$12,004.74 last month"
"$61,690.25 YTD
$0.00 last year","$61,390.25 YTD
$0.00 last year"
OCCUPANCY,NET RENTALS
85.21% UNITS,5 MTD
69.07% SQ FT,81 YTD
75.92% ECON
LEADS SUMMARY
TOTAL,MOVE IN %
16,56.25% MTD
134,50.75% YTD
REVENUE
REVENUE,12/31/2024,MTD,YTD
Rent,$129.20,"$11,166.06","$53,248.23"
Fees,$20.00,$400.20,"$2,043.94"
Merchandise,$0.00,$0.00,$0.00
Services,$0.00,$25.00,$75.00
Insurance,$10.80,"$1,061.80","$5,516.35"
Miscellaneous,$0.00,$215.00,$806.73
TOTAL REVENUE,$160.00,"$12,868.06","$61,690.25"
RECEIPTS
TYPE,12/31/2024,MTD,YTD
Cash,$0.00,$0.00,$0.00
Credit Card,$85.00,"$12,276.56","$57,863.10"
ACH,$75.00,$591.50,"$3,527.15"
Check,$0.00,$0.00,$0.00
Money Order,$0.00,$0.00,$0.00
NET RECEIPTS,$160.00,"$12,868.06","$61,390.25"
ALLOWANCES,12/31/2024,MTD,YTD
Credits,$0.00,$67.00,"$1,955.01"
Discounts,$0.00,"$1,887.78","$10,818.80"
Waived Fee,$0.00,$80.40,$562.20
Write Offs,$0.00,$0.00,$505.50
TOTAL ALLOWANCES,$0.00,"$2,035.18","$13,841.51"
INSURANCE/PROTECTION
ENROLLED,NOT ENROLLED,TOTAL,PERCENT INSURED
80,41,121,66.12%
OCCUPANCY STATISTICS,,,,,ECONOMIC OCCUPANCY
STATUS,UNITS,UNIT %,SQ FT,SQ FT %,POTENTIAL,POTENTIAL %,RENT,ECON OCC,VARIANCE
Occupied,121,85.21%,"21,550.00",69.07%,"$14,378.00",76.41%,"$14,285.35",75.92%,-$92.65
Vacant,17,11.97%,"8,650.00",27.72%,"$3,970.00",21.10%,,,"-$3,970.00"
Reserved,2,1.41%,800.00,2.56%,$298.50,1.59%,,,-$298.50
Complimentary,0,0.00%,0,0.00%,$0.00,0.00%,,,$0.00
Unrentable,2,1.41%,200,0.64%,$171.00,0.91%,,,-$171.00
TOTALS,142,,"31,200.00",,"$18,817.50",,"$14,285.35",,"-$4,532.15"
RENTAL ACTIVITY
TYPE,12/31/2024,MTD,YTD
Move Ins,0,9,114
Move Outs,0,4,33
Reservations,0,9,43
Transfers,0,2,14
NET RENTALS,0,5,81
TOP LEAD SOURCES
SOURCE,12/31/2024,MTD,YTD
Walk In,0,6,42
Google,0,2,20
Drive By,0,2,15
Referral,0,2,15
Storedge Website - Billboard,0,2,6
Other,0,2,36
AMOUNT DUE BY OLDEST CHARGE (CURRENT TENANTS)
DAYS,UNITS,TENANTS,RENT,FEES,OTHER,TOTAL
0-10,3,3,$390.00,$68.80,$39.00,$497.80
11-30,0,0,$0.00,$0.00,$0.00,$0.00
31-60,2,2,$357.00,$136.60,$40.00,$533.60
61-90,0,0,$0.00,$0.00,$0.00,$0.00
91-120,0,0,$0.00,$0.00,$0.00,$0.00
120+,2,2,$600.00,$230.00,$80.20,$910.20
TOTALS,7,7,"$1,347.00",$435.40,$159.20,"$1,941.60"
RECEIPTS BY CHARGE TYPE
TYPE,12/31/2024,MTD,YTD
Rental Revenue,$129.20,"$11,166.06","$53,248.23"
Parking Revenue,$0.00,$0.00,$0.00
Locker Revenue,$0.00,$0.00,$0.00
Office Space Revenue,$0.00,$0.00,$0.00
Wine Storage Revenue,$0.00,$0.00,$0.00
Other Storage Revenue,$0.00,$0.00,$0.00
Warehouse Storage Revenue,$0.00,$0.00,$0.00
Mailbox Revenue,$0.00,$0.00,$0.00
Cell/Billboard Revenue,$0.00,$0.00,$0.00
RENT RECEIPTS,$129.20,"$11,166.06","$53,248.23"
General Fee Revenue,$0.00,$0.00,$25.00
Administrative Fee Revenue,$0.00,$0.00,$25.00
Late Fee Revenue,$20.00,$365.20,"$1,748.94"
NSF Fee Revenue,$0.00,$35.00,$245.00
Chargeback Fee Revenue,$0.00,$0.00,$0.00
Convenience Fee Revenue,$0.00,$0.00,$0.00
Fee Revenue Other,$0.00,$0.00,$0.00
FEE RECEIPTS,$20.00,$400.20,"$2,043.94"
General Retail Revenue,$0.00,$0.00,$0.00
Boxes Revenue,$0.00,$0.00,$0.00
Locks Revenue,$0.00,$0.00,$0.00
Truck Rental Revenue,$0.00,$0.00,$0.00
RETAIL RECEIPTS,$0.00,$0.00,$0.00
Insurance Revenue,$10.80,"$1,061.80","$5,516.35"
Miscellaneous Revenue,$0.00,$215.00,$706.73
Retained Security Deposit,$0.00,$0.00,$0.00
Security Deposit,$0.00,$0.00,-$200.00
Service Revenue,$0.00,$25.00,$75.00
Sales Tax City,$0.00,$0.00,$0.00
Sales Tax State,$0.00,$0.00,$0.00
Sales Tax Other,$0.00,$0.00,$0.00
OTHER RECEIPTS,$10.80,"$1,301.80","$6,098.08"
TOTAL RECEIPTS,$160.00,"$12,868.06","$61,390.25"
LIABILITY BALANCES AS OF 12/31/2024
TYPE,AMOUNT
Prepaid Rent,$368.67
Prepaid Insurance,$26.77
Prepaid Services,$0.00
Security Deposit,"$1,953.45"
ADDITIONAL REVENUE
TYPE,12/31/2024,MTD,YTD
Retained Revenue,$0.00,$0.00,$0.00
Retained Security Deposit,$0.00,$0.00,$100.00
TOTAL ADDITIONAL REVENUE,$0.00,$0.00,$100.00
