TOTAL REVENUE,RECEIPTS
"$13,298.40 MTD
$16,685.04 last month","$13,298.40 MTD
$16,685.04 last month"
"$186,647.91 YTD
$61,690.25 last year","$186,647.91 YTD
$61,390.25 last year"
OCCUPANCY,NET RENTALS
74.23% UNITS,4 MTD
76.01% SQ FT,23 YTD
76.84% ECON
LEADS SUMMARY
TOTAL,MOVE IN %
13,46.15% MTD
195,53.33% YTD
REVENUE
REVENUE,12/18/2025,MTD,YTD
Rent,$226.00,"$12,254.50","$169,162.69"
Fees,$0.00,$78.90,"$3,140.90"
Merchandise,$0.00,$0.00,$0.00
Services,$0.00,$0.00,$51.61
Insurance,$33.00,$830.00,"$11,977.71"
Miscellaneous,$0.00,$135.00,"$2,315.00"
TOTAL REVENUE,$259.00,"$13,298.40","$186,647.91"
RECEIPTS
TYPE,12/18/2025,MTD,YTD
Cash,$0.00,$0.00,$0.00
Credit Card,$259.00,"$12,767.82","$176,170.08"
ACH,$0.00,$530.58,"$10,477.83"
Check,$0.00,$0.00,$0.00
Money Order,$0.00,$0.00,$0.00
NET RECEIPTS,$259.00,"$13,298.40","$186,647.91"
ALLOWANCES,12/18/2025,MTD,YTD
Credits,$0.00,$197.50,"$3,235.95"
Discounts,$0.00,$499.11,"$10,051.89"
Waived Fee,$0.00,$41.80,"$1,322.46"
Write Offs,$0.00,$0.00,$432.02
TOTAL ALLOWANCES,$0.00,$738.41,"$15,042.32"
INSURANCE/PROTECTION
ENROLLED,NOT ENROLLED,TOTAL,PERCENT INSURED
88,$56.00,$144.00,61.11%
OCCUPANCY STATISTICS,,,,,ECONOMIC OCCUPANCY
STATUS,UNITS,UNIT %,SQ FT,SQ FT %,POTENTIAL,POTENTIAL %,RENT,ECON OCC,VARIANCE
Occupied,144,74.23%,"22,500.00",76.01%,"$16,734.50",76.92%,"$16,716.05",76.84%,-$18.45
Vacant,47,24.23%,"6,000.00",20.27%,"$4,453.00",20.47%,$0.00,0.00%,"-$4,453.00"
Reserved,2,1.03%,950,3.21%,$438.00,2.01%,$0.00,0.00%,-$438.00
Complimentary,0,0.00%,0,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
Unrentable,1,0.52%,150.00,0.51%,$129.00,0.59%,$0.00,0.00%,-$129.00
TOTALS,194,,"29,600.00",,"$21,754.50",,"$16,716.05",,"-$5,038.45"
RENTAL ACTIVITY,,,,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
TYPE,12/18/2025,MTD,YTD,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
Move Ins,0,6,105,0.51%,$129.00,0.59%,$0.00,0.00%,-$129.00
Move Outs,0,2,82.00,,"$21,754.50",,"$16,403.05",,"-$5,351.45"
Reservations,0,4,87
Transfers,0,1,24
NET RENTALS,0,4,23
TOP LEAD SOURCES
SOURCE,12/18/2025,MTD,YTD
Walk In,1,7,61
Drive By,0,2,38
Google,0,2,17
Online Marketing Service - Sparefoot,0,1,13
Storedge Website - Move-In,0,1,10
Other,0,0,56
AMOUNT DUE BY OLDEST CHARGE (CURRENT TENANTS)
DAYS,UNITS,TENANTS,RENT,FEES,OTHER,TOTAL
11-30,2,2,$188.80,$35.00,$23.00,$246.80
31-60,4,4,$659.00,$325.40,$50.00,"$1,034.40"
91-120,1,1,$234.00,$245.00,$40.00,$519.00
120+,3,3,"$1,259.00",$835.00,$203.00,"$2,297.00"
TOTALS,10,10,"$2,340.80","$1,440.40",$316.00,"$4,097.20"
RECEIPTS BY CHARGE TYPE,,,,"$1,301.50",$326.00,"$4,272.50"
TYPE,12/18/2025,MTD,YTD,$192.20,$76.00,"$1,176.20"
Rental Revenue,$226.00,"$12,254.50","$169,162.69",$245.00,$40.00,$519.00
Parking Revenue,$0.00,$0.00,$0.00,$815.00,$174.00,"$2,103.50"
Locker Revenue,$0.00,$0.00,$0.00,"$1,301.50",$326.00,"$4,272.50"
Office Space Revenue,$0.00,$0.00,$0.00
Wine Storage Revenue,$0.00,$0.00,$0.00
Other Storage Revenue,$0.00,$0.00,$0.00
Warehouse Storage Revenue,$0.00,$0.00,$0.00
Mailbox Revenue,$0.00,$0.00,$0.00
Cell/Billboard Revenue,$0.00,$0.00,$0.00
RENT RECEIPTS,$226.00,"$12,254.50","$169,162.69"
General Fee Revenue,$0.00,$0.00,$229.40
Administrative Fee Revenue,$0.00,$0.00,$0.00
Late Fee Revenue,$0.00,$58.90,"$2,856.50"
NSF Fee Revenue,$0.00,$0.00,$35.00
Chargeback Fee Revenue,$0.00,$0.00,$0.00
Convenience Fee Revenue,$0.00,$0.00,$0.00
Fee Revenue Other,$0.00,$0.00,$0.00
FEE RECEIPTS,$0.00,$58.90,"$3,120.90"
General Retail Revenue,$0.00,$0.00,$0.00
Boxes Revenue,$0.00,$0.00,$0.00
Locks Revenue,$0.00,$0.00,$0.00
Truck Rental Revenue,$0.00,$0.00,$0.00
RETAIL RECEIPTS,$0.00,$0.00,$0.00
Insurance Revenue,$33.00,$830.00,"$11,977.71"
Miscellaneous Revenue,$0.00,$120.00,"$2,300.00"
Retained Security Deposit,$0.00,$0.00,$0.00
Security Deposit,$0.00,$0.00,$0.00
Service Revenue,$0.00,$0.00,$51.61
Sales Tax City,$0.00,$0.00,$0.00
Sales Tax State,$0.00,$0.00,$0.00
Sales Tax Other,$0.00,$0.00,$0.00
