"This sheet is autoimported from our bookkeeping sheet, please dont touch any cell)"
Month,Expense,Income,PROFIT/LOSS,,Month,Expense,Income,PROFIT/LOSS,,Month,Expense,Income,PROFIT/LOSS
Jan,"$14,774.31","$7,496.93","-$7,277.38",,Jan,"$674,453.37","$3,000.00","-$671,453.37",,Jan,"$689,227.68","$10,496.93","-$678,730.75"
Feb,"$27,695.65","$9,409.34","-$18,286.31",,Feb,"$102,696.13","$3,047.07","-$99,649.06",,Feb,"$130,391.78","$12,456.41","-$117,935.37"
Mar,"$17,810.30","$8,451.42","-$9,358.88",,Mar,"$62,952.15","$3,615.15","-$59,337.00",,Mar,"$80,762.45","$12,066.57","-$68,695.88"
Apr,"$22,504.34","$10,424.38","-$12,079.96",,Apr,"$42,673.01","$7,829.23","-$34,843.78",,Apr,"$65,177.35","$18,253.61","-$46,923.74"
May,"$19,817.17","$10,269.55","-$9,547.62",,May,"$51,979.81","$9,403.00","-$42,576.81",,May,"$71,796.98","$19,672.55","-$52,124.43"
Jun,"$20,867.46","$10,337.11","-$10,530.35",,Jun,"$90,896.95","$12,822.04","-$78,074.91",,Jun,"$111,764.41","$23,159.15","-$88,605.26"
Jul,"$17,792.03","$9,985.91","-$7,806.12",,Jul,"$116,127.47","$12,548.24","-$103,579.23",,Jul,"$133,919.50","$22,534.15","-$111,385.35"
Aug,"$25,865.93","$13,251.03","-$12,614.90",,Aug,"$32,247.76","$14,809.53","-$17,438.23",,Aug,"$58,113.69","$28,060.56","-$30,053.13"
Sep,"$43,574.47","$10,438.93","-$33,135.54",,Sep,"$34,494.21","$18,562.40","-$15,931.81",,Sep,"$78,068.68","$29,001.33","-$49,067.35"
Oct,"$24,317.75","$11,613.18","-$12,704.57",,Oct,"$28,927.81","$21,283.23","-$7,644.58",,Oct,"$53,245.56","$32,896.41","-$20,349.15"
Nov,"$16,851.93","$11,311.49","-$5,540.44",,Nov,"$19,642.50","$23,123.88","$3,481.38",,Nov,"$36,494.43","$34,435.37","-$2,059.06"
Dec,"$66,378.58","$13,089.15","-$53,289.43",,Dec,"$32,236.65","$26,346.99","-$5,889.66",,Dec,"$98,615.23","$39,436.14","-$59,179.09"
YTD,"$318,249.92","$126,078.42","-$192,171.50",,YTD,"$1,289,327.82","$156,390.76","-$1,132,937.06",,YTD,"$1,607,577.74","$282,469.18","-$1,325,108.56"

Hamshire 2025,,,,,Mount Holly 2025,,,,,Rethink 2025
Month,Expense,Income,PROFIT/LOSS,,Month,Expense,Income,PROFIT/LOSS,,Month,Expense,Income,PROFIT/LOSS
Jan,"$20,051.54","$19,059.70",-$991.84,,Jan,"$27,442.61","$26,651.83",-$790.78,,Jan,"$47,494.15","$45,711.53","-$1,782.62"
Feb,"$32,359.60","$15,386.50","-$16,973.10",,Feb,"$27,791.13","$26,694.14","-$1,096.99",,Feb,"$60,150.73","$42,080.64","-$18,070.09"
Mar,"$21,177.12","$18,010.90","-$3,166.22",,Mar,"$19,526.57","$29,014.06","$9,487.49",,Mar,"$40,703.69","$47,024.96","$6,321.27"
Apr,"$20,602.98","$15,213.17","-$5,389.81",,Apr,"$25,828.94","$31,925.01","$6,096.07",,Apr,"$46,431.92","$47,138.18",$706.26
May,"$18,486.48","$15,924.25","-$2,562.23",,May,"$28,161.15","$29,223.85","$1,062.70",,May,"$46,647.63","$45,148.10","-$1,499.53"
Jun,"$33,591.09","$15,748.00","-$17,843.09",,Jun,"$19,917.35","$30,751.42","$10,834.07",,Jun,"$53,508.44","$46,499.42","-$7,009.02"
Jul,"$18,483.03","$14,894.81","-$3,588.22",,Jul,"$34,948.08","$36,401.60","$1,453.52",,Jul,"$53,431.11","$51,296.41","-$2,134.70"
Aug,"$36,301.35","$15,973.96","-$20,327.39",,Aug,"$22,488.28","$34,226.75","$11,738.47",,Aug,"$58,789.63","$50,200.71","-$8,588.92"
Sep,"$42,096.14","$15,203.31",,,Sep,"$27,000.00",,,,Sep
Oct,,,,,Oct,"$27,000.00",,,,Oct
Nov,,,,,Nov,"$27,000.00",,,,Nov
Dec,,,,,Dec,"$27,000.00",,,,Dec
YTD,"$243,149.33","$145,414.60","-$97,734.73",,YTD,"$314,104.11","$244,888.66","-$69,215.45",,YTD,"$407,157.30","$375,099.95","-$32,057.35"
,"$111,149.33",-mortgages,,,,"$164,104.11",-mortgages
,"$61,149.33",-construction?,,,,"$114,104.11",construction?
