Metrics Per Location,Charlotte ,Houston ,Rethink
Report Date,12/21/2025,12/21/2025,12/21/2025
Total Units Available,273.00,188.00,461.00
Total Units Rented,213.00,133.00,346.00
Total Vacant Units,57.00,3.00,60.00
Total Unrentables,3.00,52.00,55.00
Total Occupancy Sq Ft %,,78.46%,-
Move Ins,28,13,41
Move Outs,11,3,14
Net Move,17,10,27
Total Rent,"$28,904 ","$14,749.78","$43,653 "
Rent per sq. ft.,,$0.70,$0.70
Total Revenue,"$33,095 ","$16,075.15","$49,170 "
Discounts/Credits/Waived Fees,"$2,163 ","$1,507.12","$1,835 "
Revenue
Previous month
Remaining amount to beat last month
