Timestamp,Name,"Highs - 
Provide Specific Info: Date, Description, Name of the Facility ","Lows - Provide Specific Info: Date, Description, Name of the Facility ",Notes (In case you have additional notes),Property
7/10/2025 8:30:13,Patrick,TX - we are seeing more move ins from leads calling in... NC - we have otis elevators doing some repair work on the elevator that is not working and we have 7/14 Boxwell coming on site to measure for the install and manufacturing.,"TX - we are seeing this new competitor come up and give deep discounts... NC we stopped increasing rates, to increase occupancy ... We increased our ad budget to be double for the next few months to $64/day to bring in more leads we hope : ) ",we need to take photos horizontal on site reviews with both kevin and lucas,"Hamshire, Texas"
7/11/2025 7:24:48,Xcyllyn,"        
July 05, 2025 - Move in - RTSS,TX
July 08, 2025 - Move in - RTSS,TX
July 12, 2025 - Scheduled move-in - RTSS, TX","Week 7.07: Can no longer find new and free marketing strategy for RTSS,TX",For marketing strategy - I've focused on growing our GBP for local SEO. ,"Hamshire, Texas"
7/20/2025 7:49:45,Patrick,"Texas- We put the order in for 40 storage units in Texas… We also have been talking to an installer to put them in … NC- we have the $400,000 and now we are chalking the lines for the second floor build out and we are doing some minor repairs and demolition getting ready for them","Texas – we are continuing to see low leads and low phone calls, especially from Beaumont Texas… Sales are $700 behind schedule right now
Nc- sales Lower mtd and stopped rent increases to get more customers …. Warehouse moving out August 31",,"Hamshire, Texas"
7/21/2025 7:28:08,Xcyllyn,"RTSS - Hamshire (July 14-20)
Arrears Management + Auctions last week was at 5% from 8% 2 weeks ago. 
Vacated 3 units under delinquent tenants and made them available for lease. 
Consistent in posting twice on FB for social media. 
","RTSS - Hamshire (July 14-20)
1 move in compared to 3 move ins from 2 weeks ago.
4 Move outs - 3 units were vacated/emptied units from delinquent units (auctioned)
Running out of free marketing strategies. ",,"Hamshire, Texas"
7/22/2025 17:14:24,Patrick,"Texas we are seeing more move-in and we moved all of our boat in RV people to prepare for the new construction… Spoke with the Chamber of Commerce to possibly be in their newsletter

Charlotte – we are fixing the floors and offices and taking down some walls in building some floors to prepare for a 200 unit build out on the second floor… Got financing and financing has been sent to the Vertical Lift Company as well as the steel installers and those orders are in","Charlotte – we have to explain the revenue potential and also the new loan being a burden for a $400,000… How that will help our property long-term, but also hurt our property short-term on cash flow

Texas – struggling with converting leads… New competition has a Cost floor in Beaumont, Texas, reducing all new customers from Beaumont",,"Hamshire, Texas"
7/27/2025 20:20:03,Patrick,we have alot of pictures and alot of work done on the second floor - order is in - chalk lines are done.  walls and floors being fixed..... 200 customer milestone is hit!,"higher expenses now coming soon bc the new loan
",,"Mt Holly, North Carolina"
7/27/2025 20:20:58,Patrick,"making 50 units now - higher ROI , bc we made the back smaller - it should be delivered in the next 1-2 months",. ,,"Hamshire, Texas"
8/10/2025 4:06:12,Patrick,Spoke with the installer and he is ready to go in two weeks… Spoke with the manufacturer and confirm the color of the walls and the doors… It looks like we’re preparing for three auctions and we’re getting one customer getting four units. I moved two people in as well,The door in the back is still having issues… Their air conditioner people are saying is not cool enough we might need to get a servicing company,,"Hamshire, Texas"
8/10/2025 5:48:25,Patrick,More cameras on 2nd floor- install coming soon - no date yet.  Pinpad repaired. Air confitioners and thermostat fixed but maybe on its last summer.  Getting the air conditioning ducts in order w Carlos .  ,We are not increasing rent on new customers because they are so price conscious and we have so many units to fill up .  Maybe more inclined to make rates lower.  Need to get warehousing tenant in back out and new person in . Losing $3k revenue soon,,"Mt Holly, North Carolina"
8/20/2025 4:43:42,Patrick,"The order for the second floor is supposed to be the first week of October… It looks like we are going to be above the 200 customer milestone if we haven’t already gotten that… we have made the air conditioners work with air conditioner, ducks, and Wi-Fi enabled thermostats",We’re gonna lose the warehouse and customer at the end of this month…,,"Mt Holly, North Carolina"
8/20/2025 4:46:07,Patrick,"We are ahead of schedule this month in comparison to last month and we are more in line with the previous month which probably means we’ll get to $16,000 for the first time this year… Best month for new customers all year… August 25. We should be putting in new steel for 50 units.",We continue to not be able to increase rent because the fear of losing customers with one competitor that it’s extremely low prices,,"Hamshire, Texas"
9/1/2025 9:49:05,Xcyllyn,Christine Wilson had more than 4 move in. - Rethink Self Storage Hamshire,Wade Nemeyer's transfer from unit 20A to unit 4A. - Rethink Self Storage Hamshire,,"Hamshire, Texas"
9/10/2025 2:34:26,Patrick,"We are about 80% done on all units and should be 100% done one 9/10.  59 unit install done in 2.5 weeks … a little slower than expected, inside of facility I believe only has one unit left.",Site review and 2 hvac are not working correctly .  Need to create drainage better so water from large building does not go into the new units ,Pat flew out there to meet crew and do a site review . First time being there .  Maybe better marketing ideas for the future. Some construction work is being done on roads by our nearest exit ,"Hamshire, Texas"
9/10/2025 2:38:11,Patrick,"Order leaving China this week. 9/10 and should arrive mid October for about 170-200 units to be installed. These are larger unit sizes.  August best month and September looks strong as well, these promos roll off into our 4th qtr months .  Vertical lift install about 6 weeks away as well.  ",Losing the warehouse tenant causing revenue to drop this month ,,"Mt Holly, North Carolina"
9/10/2025 2:42:18,Patrick,"Met with the neighborhood and 13 people showed up , a toss up of people wanting something there that creates jobs. ",It is possible they do not want storage and the zoning can be not aligned for storage and may have to go with flex or warehouse ,,"Rock Hill, South Carolina"
9/10/2025 2:43:46,Patrick,Near purchasing 9/19 in cash and getting a bank to finance the rest of the build out getting measurements to Guillermo’s to gravel or asphalt or concrete the front ,It is possible we need to make a fire wall when knocking down the room.,,"Fort Lawn, South Carolina"
9/10/2025 2:45:54,Patrick,"We are making websites for each facility to eventually save us $2800 a month in CRM type of expenses.  That is huge for the future profitability of our company to continue to have costs lower on every incremental site making it easier to buy other facilities 

New team members Richie and Janine - I’m really excited about their ability to add value to our team ",Money !,,Gamma Income LLC
9/21/2025 3:32:35,Patrick,"We finished the 50 unit build out - we completed a little uncovered parking spot, to add a unit 15x30","auction taking a long time, overpaying on the labor, we should get a little credit on the construction price- we still have to pay alot to SAMs about 30k.",,"Hamshire, Texas"
9/21/2025 6:59:58,Patrick,"We finished work on brick and buffer yard., we painted the lobby and elevator pit and handrails.... We have Carlos doing the lights for aisles","we have a vertical lift coming 10/22 and delivery 10/29-10/31, ",,"Mt Holly, North Carolina"
