TOTAL REVENUE,RECEIPTS
"$16,029.51 MTD
$15,477.98 last month","$16,029.51 MTD
$15,477.98 last month"
"$156,664.47 YTD
$61,690.25 last year","$156,664.47 YTD
$61,390.25 last year"
OCCUPANCY,NET RENTALS
72.16% UNITS,6 MTD
74.83% SQ FT,19 YTD
74.09% ECON
LEADS SUMMARY
TOTAL,MOVE IN %
27,44.44% MTD
169,52.66% YTD
REVENUE
REVENUE,10/31/2025,MTD,YTD
Rent,$268.50,"$14,583.61","$141,512.25"
Fees,$0.00,$228.00,"$2,957.90"
Merchandise,$0.00,$0.00,$0.00
Services,$0.00,$0.00,$51.61
Insurance,$10.00,"$1,027.90","$10,157.71"
Miscellaneous,$0.00,$190.00,"$1,985.00"
TOTAL REVENUE,$278.50,"$16,029.51","$156,664.47"
RECEIPTS
TYPE,10/31/2025,MTD,YTD
Cash,$0.00,$0.00,$0.00
Credit Card,$278.50,"$14,933.51","$147,483.72"
ACH,$0.00,"$1,096.00","$9,180.75"
Check,$0.00,$0.00,$0.00
Money Order,$0.00,$0.00,$0.00
NET RECEIPTS,$278.50,"$16,029.51","$156,664.47"
ALLOWANCES,10/31/2025,MTD,YTD
Credits,$0.00,$186.30,"$2,786.95"
Discounts,$2.77,$743.58,"$8,875.44"
Waived Fee,$0.00,$190.60,"$1,165.66"
Write Offs,$0.00,$178.00,$254.02
TOTAL ALLOWANCES,$2.77,"$1,298.48","$13,082.07"
INSURANCE/PROTECTION
ENROLLED,NOT ENROLLED,TOTAL,PERCENT INSURED
90,50,140,64.29%
OCCUPANCY STATISTICS,,,,,ECONOMIC OCCUPANCY
STATUS,UNITS,UNIT %,SQ FT,SQ FT %,POTENTIAL,POTENTIAL %,RENT,ECON OCC,VARIANCE
Occupied,140,72.16%,"22,150.00",74.83%,"$16,252.50",74.71%,"$16,118.00",74.09%,-$134.50
Vacant,50,25.77%,"6,700.00",22.64%,"$4,950.00",22.75%,$0.00,0.00%,"-$4,950.00"
Reserved,3,1.55%,700,2.36%,$497.00,2.28%,$0.00,0.00%,-$497.00
Complimentary,0,0.00%,0,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
Unrentable,1,0.52%,50,0.17%,$55.00,0.25%,$0.00,0.00%,-$55.00
TOTALS,194,,"29,600.00",,"$21,754.50",,"$16,118.00",,"-$5,636.50"
RENTAL ACTIVITY
TYPE,10/31/2025,MTD,YTD
Move Ins,0,12,90
Move Outs,1,6,71
Reservations,0,8,77
Transfers,0,0,22
NET RENTALS,-1,6,19
TOP LEAD SOURCES
SOURCE,10/31/2025,MTD,YTD
Walk In,0,9,52
Online Marketing Service - Sparefoot,0,5,11
Drive By,0,3,33
Google,0,3,15
Other,0,2,4
Other,0,5,54
AMOUNT DUE BY OLDEST CHARGE (CURRENT TENANTS)
DAYS,UNITS,TENANTS,RENT,FEES,OTHER,TOTAL
0-10,3,3,$339.50,$69.30,$33.00,$441.80
61-90,1,1,$175.50,$225.00,$30.00,$430.50
91-120,1,1,$148.50,$225.00,$0.00,$373.50
120+,2,2,$722.50,$530.00,$145.00,"$1,397.50"
TOTALS,7,7,"$1,386.00","$1,049.30",$208.00,"$2,643.30"
RECEIPTS BY CHARGE TYPE,,,,$479.00,$205.00,"$2,809.00"
TYPE,10/31/2025,MTD,YTD,"$1,337.20",$275.00,"$4,881.20"
Rental Revenue,$268.50,"$14,583.61","$141,512.25"
Parking Revenue,$0.00,$0.00,$0.00
Locker Revenue,$0.00,$0.00,$0.00
Office Space Revenue,$0.00,$0.00,$0.00
Wine Storage Revenue,$0.00,$0.00,$0.00
Other Storage Revenue,$0.00,$0.00,$0.00
Warehouse Storage Revenue,$0.00,$0.00,$0.00
Mailbox Revenue,$0.00,$0.00,$0.00
Cell/Billboard Revenue,$0.00,$0.00,$0.00
RENT RECEIPTS,$268.50,"$14,583.61","$141,512.25"
General Fee Revenue,$0.00,$0.00,$229.40
Administrative Fee Revenue,$0.00,$0.00,$0.00
Late Fee Revenue,$0.00,$228.00,"$2,693.50"
NSF Fee Revenue,$0.00,$0.00,$35.00
Chargeback Fee Revenue,$0.00,$0.00,$0.00
Convenience Fee Revenue,$0.00,$0.00,$0.00
Fee Revenue Other,$0.00,$0.00,$0.00
FEE RECEIPTS,$0.00,$228.00,"$2,957.90"
General Retail Revenue,$0.00,$0.00,$0.00
Boxes Revenue,$0.00,$0.00,$0.00
Locks Revenue,$0.00,$0.00,$0.00
Truck Rental Revenue,$0.00,$0.00,$0.00
RETAIL RECEIPTS,$0.00,$0.00,$0.00
Insurance Revenue,$10.00,"$1,027.90","$10,157.71"
Miscellaneous Revenue,$0.00,$190.00,"$1,985.00"
Retained Security Deposit,$0.00,$0.00,$0.00
Security Deposit,$0.00,$0.00,$0.00
Service Revenue,$0.00,$0.00,$51.61
Sales Tax City,$0.00,$0.00,$0.00
Sales Tax State,$0.00,$0.00,$0.00
Sales Tax Other,$0.00,$0.00,$0.00
OTHER RECEIPTS,$10.00,"$1,217.90","$12,194.32"
TOTAL RECEIPTS,$278.50,"$16,029.51","$156,664.47"
LIABILITY BALANCES AS OF 10/31/2025,,$904.60,"$11,881.02"
TYPE,AMOUNT,"$11,894.13","$152,529.09"
Prepaid Rent,$214.00
Prepaid Insurance,$10.00
Prepaid Services,$0.00
Security Deposit,"$1,453.45"
ADDITIONAL REVENUE
TYPE,10/31/2025,MTD,YTD
Retained Revenue,$0.00,$0.00,$0.00
Retained Security Deposit,$0.00,$0.00,$0.00
TOTAL ADDITIONAL REVENUE,$0.00,$0.00,$0.00
Retained Security Deposit,$0.00,$0.00,$0.00
TOTAL ADDITIONAL REVENUE,$0.00,$0.00,$0.00
