,,,,,,,,,,,,,,2025
,Sales,Jan'24,Feb'24,Mar'24,Apr'24,May'24,June'24,Jul'24,Aug'24,Sep'24,Oct'24,Nov'24,Dec'24,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25
Rethink,Charlotte,$0,"$3,000","$7,267","$7,827","$9,751","$13,105","$12,903","$15,549","$18,162","$22,179","$23,214","$25,823","$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112","$33,095","$25,431","$31,395","$28,212"
,Houston,"$12,533","$9,908","$8,586","$13,345","$10,114","$10,974","$11,074","$11,404","$10,153","$11,255","$12,005","$12,868","$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685"
,Total,"$12,533","$12,908","$15,853","$21,172","$19,865","$24,079","$23,977","$26,953","$28,316","$33,434","$35,218","$38,692","$42,184","$42,757","$48,344","$45,051","$44,959","$47,183","$46,366","$49,170","$40,909","$47,425","$44,897",$0
,Forecast,"$5,023","$6,221","$15,055","$17,669","$20,282","$22,896","$25,510","$28,123","$30,737","$33,350","$35,527","$37,922","$39,222","$40,522","$41,822","$43,122","$44,922","$46,722","$48,522","$50,322","$51,622","$52,922","$54,222","$55,522"
,,,$375,"$2,945","$5,319","-$1,307","$4,214",-$102,"$2,976","$1,363","$5,118","$1,785","$3,473",,"$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800"
,,,1.47%,10.24%,14.37%,-3.18%,9.59%,-0.21%,5.84%,2.47%,8.29%,2.60%,4.70%,,2.17%,2.08%,2.00%,1.92%,1.85%,1.79%,1.72%,1.67%,1.61%,1.56%,1.52%
,Sales,Jan'24,Feb'24,Mar'24,Apr'24,May'24,June'24,Jul'24,Aug'24,Sep'24,Oct'24,Nov'24,Dec'24,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25
Charlotte,Actuals,$0,"$3,000","$7,267","$7,827","$9,751","$13,105","$12,903","$15,549","$18,162","$22,179","$23,214","$25,823","$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112","$33,095","$25,431","$31,395","$28,212"
,Forecast,$0,$870,"$3,480","$5,220","$6,960","$8,700","$10,440","$12,180","$13,920","$15,660","$17,400","$19,140","$20,440","$21,740","$23,040","$24,340","$26,140","$27,940","$29,740","$31,540","$32,840","$34,140","$35,440","$36,740"
,,,"$3,000","$4,267",$560,"$1,924","$3,354",-$202,"$2,646","$2,614","$4,016","$1,035","$2,610",,,,,,,,,,,,36740
,,monthly movement,100.00%,41.56%,3.71%,10.95%,14.67%,-0.78%,9.30%,7.75%,9.96%,2.28%,5.32%,monthly movement,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.65%
,,% to goal,344.83%,208.82%,149.94%,140.10%,150.63%,123.59%,127.66%,130.48%,141.63%,133.41%,134.92%,% to goal,132.58%,131.61%,130.75%,127.48%,124.64%,122.14%,119.92%,119.74%,119.58%,119.42%,119.28%
,Sales,Jan'24,Feb'24,Mar'24,Apr'24,May'24,June'24,Jul'24,Aug'24,Sep'24,Oct'24,Nov'24,Dec'24,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25
Houston,Actuals,"$12,533","$9,908","$8,586","$13,345","$10,114","$10,974","$11,074","$11,404","$10,153","$11,255","$12,005","$12,868","$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685"
,Forecast,"$5,023","$5,351","$11,575","$12,449","$13,322","$14,196","$15,070","$15,943","$16,817","$17,690","$18,127","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782"





























,This is the chart we want to send on our blast emails

,,,,,,,,,,,,,,,,,,,,,,5 months past
,,,,,,,,,,,,,,,,,,,,,,3 months forward
,,,,,,,,,,,,,,,,,,,,,,:)
