TOTAL REVENUE,RECEIPTS
"$15,477.98 MTD
$16,075.15 last month","$15,477.98 MTD
$16,075.15 last month"
"$140,634.96 YTD
$61,690.25 last year","$140,634.96 YTD
$61,390.25 last year"
OCCUPANCY,NET RENTALS
69.95% UNITS,4 MTD
77.03% SQ FT,14 YTD
76.89% ECON
LEADS SUMMARY
TOTAL,MOVE IN %
17,52.94% MTD
142,54.23% YTD
REVENUE
REVENUE,09/30/2025,MTD,YTD
Rent,$375.50,"$14,392.98","$126,928.64"
Fees,$0.00,$65.40,"$2,729.90"
Merchandise,$0.00,$0.00,$0.00
Services,$0.00,$0.00,$51.61
Insurance,$10.00,$964.60,"$9,129.81"
Miscellaneous,$20.00,$55.00,"$1,795.00"
TOTAL REVENUE,$405.50,"$15,477.98","$140,634.96"
RECEIPTS
TYPE,09/30/2025,MTD,YTD
Cash,$0.00,$0.00,$0.00
Credit Card,$405.50,"$14,635.48","$132,550.21"
ACH,$0.00,$842.50,"$8,084.75"
Check,$0.00,$0.00,$0.00
Money Order,$0.00,$0.00,$0.00
NET RECEIPTS,$405.50,"$15,477.98","$140,634.96"
ALLOWANCES,09/30/2025,MTD,YTD
Credits,$0.00,$371.83,"$2,600.65"
Discounts,$124.50,"$1,928.34","$8,131.86"
Waived Fee,$0.00,$180.00,$975.06
Write Offs,$0.00,$49.50,$76.02
TOTAL ALLOWANCES,$124.50,"$2,529.67","$11,783.59"
INSURANCE/PROTECTION
ENROLLED,NOT ENROLLED,TOTAL,PERCENT INSURED
84,51,135,62.22%
OCCUPANCY STATISTICS,,,,,ECONOMIC OCCUPANCY
STATUS,UNITS,UNIT %,SQ FT,SQ FT %,POTENTIAL,POTENTIAL %,RENT,ECON OCC,VARIANCE
Occupied,135,69.95%,"22,800.00",77.03%,"$15,940.00",75.18%,"$16,302.00",76.89%,$362.00
Vacant,53,27.46%,"6,300.00",21.28%,"$4,805.00",22.66%,$0.00,0.00%,"-$4,805.00"
Reserved,4,2.07%,450,1.52%,$407.00,1.92%,$0.00,0.00%,-$407.00
Complimentary,0,0.00%,0,0.00%,$0.00,0.00%,$0.00,0.00%,$0.00
Unrentable,1,0.52%,50,0.17%,$49.50,0.23%,$0.00,0.00%,-$49.50
TOTALS,193,,"29,600.00",,"$21,201.50",,"$16,302.00",,"-$4,899.50"
RENTAL ACTIVITY
TYPE,09/30/2025,MTD,YTD
Move Ins,1,9,78
Move Outs,0,5,64
Reservations,3,8,69
Transfers,0,3,22
NET RENTALS,1,4,14
TOP LEAD SOURCES
SOURCE,09/30/2025,MTD,YTD
Drive By,2,8,30
Walk In,1,4,43
Google,0,2,12
Referral,0,2,10
Internet,0,1,1
Other,0,0,46
AMOUNT DUE BY OLDEST CHARGE (CURRENT TENANTS)
DAYS,UNITS,TENANTS,RENT,FEES,OTHER,TOTAL
0-10,3,3,$291.50,$62.60,$23.00,$377.10
11-30,2,2,$144.50,$70.00,$13.00,$227.50
31-60,2,2,$216.00,$260.00,$20.00,$496.00
91-120,2,2,$578.00,$490.00,$116.00,"$1,184.00"
120+,1,1,"$1,695.00",$374.00,$110.00,"$2,179.00"
TOTALS,10,10,"$2,925.00","$1,256.60",$282.00,"$4,463.60"
RECEIPTS BY CHARGE TYPE,,,,$954.40,$223.00,"$3,532.90"
TYPE,09/30/2025,MTD,YTD
Rental Revenue,$375.50,"$14,392.98","$126,928.64"
Parking Revenue,$0.00,$0.00,$0.00
Locker Revenue,$0.00,$0.00,$0.00
Office Space Revenue,$0.00,$0.00,$0.00
Wine Storage Revenue,$0.00,$0.00,$0.00
Other Storage Revenue,$0.00,$0.00,$0.00
Warehouse Storage Revenue,$0.00,$0.00,$0.00
Mailbox Revenue,$0.00,$0.00,$0.00
Cell/Billboard Revenue,$0.00,$0.00,$0.00
RENT RECEIPTS,$375.50,"$14,392.98","$126,928.64"
General Fee Revenue,$0.00,$0.00,$229.40
Administrative Fee Revenue,$0.00,$0.00,$0.00
Late Fee Revenue,$0.00,$65.40,"$2,465.50"
NSF Fee Revenue,$0.00,$0.00,$35.00
Chargeback Fee Revenue,$0.00,$0.00,$0.00
Convenience Fee Revenue,$0.00,$0.00,$0.00
Fee Revenue Other,$0.00,$0.00,$0.00
FEE RECEIPTS,$0.00,$65.40,"$2,729.90"
General Retail Revenue,$0.00,$0.00,$0.00
Boxes Revenue,$0.00,$0.00,$0.00
Locks Revenue,$0.00,$0.00,$0.00
Truck Rental Revenue,$0.00,$0.00,$0.00
RETAIL RECEIPTS,$0.00,$0.00,$0.00
Insurance Revenue,$10.00,$964.60,"$9,129.81"
Miscellaneous Revenue,$20.00,$55.00,"$1,795.00"
Retained Security Deposit,$0.00,$0.00,$0.00
Security Deposit,$0.00,$0.00,$0.00
Service Revenue,$0.00,$0.00,$51.61
Sales Tax City,$0.00,$0.00,$0.00
Sales Tax State,$0.00,$0.00,$0.00
Sales Tax Other,$0.00,$0.00,$0.00
OTHER RECEIPTS,$30.00,"$1,019.60","$10,976.42"
TOTAL RECEIPTS,$405.50,"$15,477.98","$140,634.96"
LIABILITY BALANCES AS OF 09/30/2025,,"$11,169.05","$136,326.03"
TYPE,AMOUNT
Prepaid Rent,$772.90
Prepaid Insurance,$20.00
Prepaid Services,$0.00
Security Deposit,"$1,553.45"
ADDITIONAL REVENUE
TYPE,09/30/2025,MTD,YTD
Retained Revenue,$0.00,$0.00,$0.00
Retained Security Deposit,$0.00,$0.00,$0.00
TOTAL ADDITIONAL REVENUE,$0.00,$0.00,$0.00
