,GOAL +/-,kevin says year end $46k /mo,kevin says $45k/mo,kevin says 3/1 38k low and 42k base case for year end revenue december,kevin said 70$ chance of $41k by december - may-july builds to $35k and starts to slow down in august time,,,,,,"30k, dec 31k-32k , 36k w the warehouse in december - then next year maybe 1000 per month","2026- adding 8 net new customers per month, plus 5% increases a few times, so $900-1000 per month increase should be very doable- ie 100 net new customers next year",,"$513,942"
2025,Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
Rethink,Charlotte,"$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112","$33,095","$25,431","$31,395","$28,212","$26,134","$352,030"
,Houston,"$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685","$13,298","$186,648"
,Total,"$42,184","$42,757","$48,344","$45,051","$44,959","$47,183","$46,366","$49,170","$40,909","$47,425","$44,897","$39,432","$538,677"
,Forecast,"$39,222","$40,522","$41,822","$43,122","$44,922","$46,722","$48,522","$50,322","$51,622","$52,922","$54,222","$55,522","$569,464"


2025,Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
Charlotte,Actuals,"$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112","$33,095","$25,431","$31,395","$28,212","$26,134","$352,030"
,Forecast,"$20,440","$21,740","$23,040","$24,340","$26,140","$27,940","$29,740","$31,540","$32,840","$34,140","$35,440","$36,740","$344,080"



2025,Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
Houston,Actuals,"$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685","$13,298","$186,648"
,Forecast,"$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$18,782","$225,384"




2025,Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
Catawba,Actuals,,,,,,,,,,,,,$0
,Forecast,,,,,,,,,,,,,$0



2025,Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
NJ Multifamiles,Aire RE LLC,,,,,,,,,,,"$8,184",,"$8,184"
,4535 Broadway,,,,,,,,,,,"$3,385",,"$3,385"
